0,1,内容,索引
0.0,我们处在（）,,
1.0,中国特色社会主义时代,,
2.0,中国特色社会主义新时代,,
3.0,社会主义时代,,
4.0,资本主义时代,,
5.0,我们理解当前所处历史方位的关键词是（）,,
6.0,中国特色社会主义新时代,,
7.0,资本主义时代,,
8.0,中国特色社会主义时代,,
9.0,社会主义时代,,
10.0,在民族复兴伟大进程中，本世纪中叶的目标是（）,,
11.0,实现共产主义,,
12.0,基本实现社会主义现代化,,
13.0,全面建成小康社会,,
14.0,全面建成社会主义现代化强国,,
15.0,“培养担当民族复兴大任的时代新人”的战略要求是在（）,,
16.0,党的十八大上提出的,,
17.0,党的十六大上提出的,,
18.0,党的十九大上提出的,,
19.0,党的十七大上提出的,,
20.0,新时代大学生把握发展机遇、做好人生规划、书写时代华章的必备条件是（）,,
21.0,良好的科学文化素养,,
22.0,良好的心理素质,,
23.0,良好的思想道德素质和法治素养,,
24.0,良好的身体素质,,
25.0,新时代大学生必须具备的基本素质是（）,,
26.0,科学文化素养,,
27.0,身体素质,,
28.0,思想道德素质和法治素养,,
29.0,心理素质,,
30.0,坚持和发展中国特色社会主义，要发挥法律的（）,,
31.0,引领和教化作用,,
32.0,规范和强制作用,,
33.0,引导作用,,
34.0,强制作用,,
35.0,要成为担当民族复兴大任的时代新人，大学生应通过（）	,,
36.0,思想道德素质和法治素养的不断提升，夯实全面发展的基础,,
37.0,心理素质的不断提升，夯实全面发展的基础,,
38.0,身体素质的不断提升，夯实全面发展的基础,,
39.0,科学文化素养的不断提升，夯实全面发展的基础,,
40.0,人应该具有的基本素质是（）,,
41.0,身体素质,,
42.0,思想道德素质和法治素养,,
43.0,科学文化素养,,
44.0,,,
45.0,心理素质,,
46.0,人们通过学习法律知识、理解法律本质、运用法治思维、依法维护权利与依法履行义务的品质和能力是指（）,,
47.0,身体素质,,
48.0,科学文化素养,,
49.0,心理素质,,
50.0,法治素养,,
51.0,中国特色社会主义进入了新时代，这意味着（）,,
52.0,近代以来久经磨难的中华民族迎来了从站起来、富起来到强起来的伟大飞跃，迎来了实现中华民族伟大复兴的光明前景,,
53.0,中国特色社会主义道路、理论、制度、文化不断发展，拓展了发展中国家走向现代化的途径，给世界上那些既希望加快发展又希望保持自身独立性的国家和民族提供了全新选择，为解决人类问题贡献了中国智慧和中国方案,,
54.0,中国已进入发达国家行列,,
55.0,科学社会主义在21世纪的中国焕发出强大生机活力，在世界上高高举起了中国特色社会主义伟大旗帜,,
56.0,中国梦是（）,,
57.0,未来的,,
58.0,永恒的,,
59.0,历史的,,
60.0,现实的,,
61.0,思想道德素质和法治素养包括（）,,
62.0,科学素养,,
63.0,思想政治素质,,
64.0,法治素养,,
65.0,道德素质,,
66.0,努力成为担当民族复兴大任的时代新人，就要（）,,
67.0,成大才，就是要有高强的本领才干，勤奋学习，全面发展,,
68.0,明大德，就是要锤炼高尚品格，崇德修身，启润青春	,,
69.0,立大志，就是要有崇高的理想信念，牢记使命，自信自励,,
70.0,担大任，就是要有天下兴亡、匹夫有责的担当精神，讲求奉献，实干进取,,
71.0,下列关于思想道德与法律的关系的说法正确的是（）,,
72.0,法治建设为思想道德建设提供制度支撑和法律保障,,
73.0,在我国，社会主义思想道德建设和法治建设紧密联系，相互补充、相互促进，为党和国家事业提供坚实的思 想基础、精神支撑和制度保障,,
74.0,思想道德和法律作为上层建筑，共同服务于一定的经济基础,,
75.0,思想道德建设为法治建设提供思想指引和价值基础,,
76.0,法律必须转化为人们内心自觉，才能真正为人们所遵行。,,
77.0,大学生成长成才的过程是一个思想道德素质和法治素养不断提升的过程。,,
78.0,思想道德素质和法治素养，是思想政治素质、道德素质和法治素养的简单相加。,,
79.0,新时代的大学生是民族复兴伟大进程的见证者和参与者，也是社会主义事业的生力军。,,
80.0,有信念、有梦想、有奋斗、有奉献的人生，才是有意义、有高度、有境界、有品位的人生。,,
