交易日期,指数涨跌幅,持有股票代码,涨跌幅,策略净值,沪深300指数
2007-01-04,0.012758139193062457,sh600333 sh600724 sz000099 ,-0.01080474001763354,0.9891952599823665,1.0127581391930625
2007-01-05,0.0028010391419821534,sh600333 sh600724 sz000099 ,0.02182450870619146,1.010783960545975,1.0155949143823033
2007-01-08,0.028308440430705017,sh600333 sh600724 sz000099 ,0.04802028053010465,1.0593220898867228,1.0443448225178218
2007-01-09,0.03215016232243051,sh600333 sh600724 sz000099 ,0.03321519623617064,1.0945076809796208,1.0779206780823596
2007-01-10,0.025398960951597216,sh600333 sh600724 sz000099 ,0.02800490311207704,1.1251592625408793,1.1052987432938925
2007-01-11,-0.010789150564945338,sh600333 sh600724 sz000099 ,0.007485298061834955,1.133581414988032,1.09337350873325
2007-01-12,-0.02593619910110556,sh600333 sh600724 sz000099 ,-0.05171694531458526,1.074956046939466,1.0650155557188699
2007-01-15,0.05225531914893633,sh600333 sh600724 sz000099 ,0.051128698473028145,1.1299171505351921,1.1206682834815411
2007-01-16,0.02908618744917657,sh600333 sh600724 sz000099 ,0.007850677690881325,1.138787765901443,1.1532642512432323
2007-01-17,-0.01909196344742914,sh600333 sh600724 sz000099 ,0.01359713163364984,1.1542720130571948,1.1312461723132698
2007-01-18,0.003534104541930816,sh600333 sh600724 sz000099 ,0.022494153104329007,1.1802363844429455,1.135244114548884
2007-01-19,0.03409448920844671,sh600333 sh600724 sz000099 ,0.028526205217132894,1.213904049750292,1.1739496827613236
2007-01-22,0.039739742664090194,sh600333 sh600724 sz000099 ,0.02914635371383123,1.2492849265589663,1.2206021410548489
2007-01-23,0.0067514681031264345,sh600333 sh600724 sz000099 ,0.00657986052190096,1.2575050471278375,1.2288429974767885
2007-01-24,0.011283306686654893,sh600333 sh600724 sz000099 ,0.009640994495579092,1.2696286463653599,1.2427084098870673
2007-01-25,-0.03295971108999651,sh600333 sh600724 sz000099 ,-0.03968777422796632,1.219239911295053,1.2017490997280806
2007-01-26,0.024498232653710206,sh600333 sh600724 sz000099 ,0.0071811448294956115,1.227995449679964,1.231189828764606
2007-01-29,0.02546837941518243,sh600333 sh600724 sz000099 ,0.036805905584228915,1.2731929342587476,1.2625462384556965
2007-01-30,-0.009717026527792827,sh600333 sh600724 sz000099 ,0.0028805688201549717,1.276860454127215,1.2502780431640574
2007-01-31,-0.06526560810069448,sh600333 sh600724 sz000099 ,-0.043349864004710414,1.2215087270878076,1.1686778863820089
2007-02-01,0.004125215379004121,sh600333 sh600724 sz000939 ,0.016731591387474376,1.2419465119856747,1.173498934372014
2007-02-02,-0.040569145405127904,sh600333 sh600724 sz000939 ,-0.02450394900885089,1.2115139179842576,1.125891085470713
2007-02-05,-0.011401218450826756,sh600333 sh600724 sz000939 ,0.03302468892416677,1.2515237882529862,1.1130545552534228
2007-02-06,0.019473545206444065,sh600333 sh600724 sz000939 ,0.030416010197872545,1.289590148559369,1.1347296734523888
2007-02-07,0.02320771661974752,sh600333 sh600724 sz000939 ,0.002390295900676076,1.2926726506050228,1.1610641581538905
2007-02-08,0.017220935188350106,sh600333 sh600724 sz000939 ,0.017045364273137187,1.3147067268205073,1.181058768770975
2007-02-09,-0.005538040321911519,sh600333 sh600724 sz000939 ,-0.0074456071907991195,1.3049179369615005,1.1745180176869743
2007-02-12,0.036767129001981314,sh600333 sh600724 sz000939 ,0.02722047524856208,1.3404384233659656,1.2177016731584227
2007-02-13,0.014983563947710499,sh600333 sh600724 sz000939 ,0.026403118709277695,1.3758301781805742,1.235947184047426
2007-02-14,0.026052175705513658,sh600333 sh600724 sz000939 ,0.025263038310407326,1.4105878286805646,1.2681462972489645
2007-02-15,0.03101589815905892,sh600333 sh600724 sz000939 ,0.006507272109031792,1.4197669075154773,1.307478993655226
2007-02-16,0.003039012527026763,sh600333 sh600724 sz000939 ,0.0003118062196332261,1.42020959966767,1.3114524386957687
2007-02-26,0.011558836495139557,sh600333 sh600724 sz000939 ,0.058697027584584394,1.503571681715255,1.326611303005805
2007-02-27,-0.09240013590970875,sh600333 sh600724 sz000939 ,-0.09821079253365195,1.3559047152228438,1.204032238308713
2007-02-28,0.03543452872646502,sh600333 sh600724 sz000939 ,0.05850510109228102,1.4352320576584567,1.246696553244653
2007-03-01,-0.0279143430913672,sh600333 sh600724 sz000939 ,-0.014308132134100204,1.414696567734383,1.2118958379265568
2007-03-02,0.014226574059849506,sh600333 sh600724 sz000939 ,0.008909392470941357,1.4273006546836222,1.2291369638176424
2007-03-05,-0.013201898968800863,sh600333 sh600724 sz000939 ,-0.0002448168754796143,1.4269512273969727,1.2129100218025033
2007-03-06,0.01804807703959832,sh600333 sh600724 sz000939 ,0.0011150959598003052,1.428542414945475,1.2348007153180958
2007-03-07,0.027437318721258208,sh600333 sh600724 sz000939 ,0.021247493574244825,1.4588953607275652,1.268680336101516
2007-03-08,0.01474836258032619,sh600333 sh600724 sz000939 ,0.01609282293191372,1.4823731054439444,1.2873912936968712
2007-03-09,-0.00618047441991465,sh600333 sh600724 sz000939 ,-0.0015765221296590859,1.4800361114388005,1.279434604737757
2007-03-12,0.0018304427910040832,sh600333 sh600724 sz000939 ,0.01856101115210218,1.50750707820873,1.2817765365865603
2007-03-13,0.009173715775351088,sh600333 sh600724 sz000939 ,0.02147379058740473,1.5398789695152146,1.2935351902207193
2007-03-14,-0.016214864951878072,sh600333 sh600724 sz000939 ,-0.01683934635072115,1.5139484142093564,1.2725606918007883
2007-03-15,0.018553454276650116,sh600333 sh600724 sz000939 ,0.015764189787269123,1.5378145843390878,1.2961710884103765
2007-03-16,-0.015618680425620424,sh600333 sh600724 sz000939 ,-0.034439206286767554,1.4848534706382344,1.2759266064035664
2007-03-19,0.021188604693133772,sh600333 sh600724 sz000939 ,0.006621924845209071,1.4946860587269486,1.3029617108841032
2007-03-20,0.005023670663793833,sh600333 sh600724 sz000939 ,0.03505184012490781,1.547077555494374,1.3095073614071182
2007-03-21,0.011160705934292858,sh600333 sh600724 sz000939 ,0.014768830056012039,1.5699260809949411,1.324122387986575
2007-03-22,0.0032265226078591613,sh600333 sh600724 sz000939 ,0.003091912731939983,1.5747801554329741,1.3283946988069861
2007-03-23,0.0018256790050601435,sh600333 sh600724 sz000939 ,0.02789485461261143,1.6187084189156025,1.3308199211190312
2007-03-26,0.0175829354224728,sh600333 sh600724 sz000939 ,0.05134057139120274,1.7018138340584799,1.3542196418510075
2007-03-27,0.007232193572428658,sh600333 sh600724 sz000939 ,0.024877618859849182,1.7441509099926054,1.364013620440459
2007-03-28,0.0048957981623696245,sh600333 sh600724 sz000939 ,-0.023454652375140106,1.7032424567089446,1.3706915558168584
2007-03-29,-0.005129304952370739,sh600333 sh600724 sz000939 ,-0.0533800452976575,1.6123232972169277,1.3636608608314342
2007-03-30,-0.0005461143247224021,sh600333 sh600724 sz000939 ,0.022557008668435907,1.6486924878085711,1.3629161461012709
2007-04-02,0.02456340904025467,sh600333 sh600724 sz000939 ,0.03280785433244571,1.7027825507875922,1.396394012885524
2007-04-03,0.013332818733312157,sh600333 sh600724 sz000939 ,-0.0013292544434400089,1.7005191195157456,1.4150118811396089
2007-04-04,0.008209521105497997,sh600333 sh600724 sz000939 ,0.005912636922853487,1.7105736716498128,1.4266284510423548
2007-04-05,0.011408672239355377,sh600333 sh600724 sz000939 ,0.022111421992020652,1.748396887952102,1.4429043874476364
2007-04-06,0.00915777035286447,sh600333 sh600724 sz000939 ,0.014034040059789588,1.7729339599180332,1.4561181744690224
2007-04-09,0.022261028731397126,sh600333 sh600724 sz000939 ,0.023321077567308945,1.8142806903189979,1.4885328629871868
